wavelength,R,G,B
380,97,0,97
381,99,0,100
382,100,0,103
383,102,0,106
384,103,0,109
385,104,0,112
386,105,0,115
387,106,0,118
388,107,0,120
389,108,0,123
390,109,0,126
391,110,0,129
392,110,0,132
393,111,0,135
394,111,0,137
395,111,0,140
396,111,0,143
397,111,0,146
398,111,0,148
399,111,0,151
400,111,0,154
401,111,0,156
402,110,0,159
403,110,0,162
404,109,0,164
405,108,0,167
406,108,0,170
407,107,0,172
408,106,0,175
409,104,0,178
410,103,0,180
411,102,0,183
412,101,0,185
413,99,0,188
414,97,0,190
415,96,0,193
416,94,0,196
417,92,0,198
418,90,0,201
419,87,0,203
420,85,0,206
421,83,0,208
422,80,0,211
423,77,0,213
424,75,0,216
425,72,0,218
426,69,0,221
427,65,0,223
428,62,0,226
429,58,0,228
430,55,0,230
431,51,0,233
432,47,0,235
433,42,0,238
434,38,0,240
435,33,0,243
436,28,0,245
437,22,0,247
438,16,0,250
439,9,0,252
440,0,0,255
441,0,11,255
442,0,19,255
443,0,26,255
444,0,33,255
445,0,40,255
446,0,46,255
447,0,52,255
448,0,58,255
449,0,64,255
450,0,70,255
451,0,75,255
452,0,81,255
453,0,86,255
454,0,92,255
455,0,97,255
456,0,102,255
457,0,107,255
458,0,112,255
459,0,117,255
460,0,122,255
461,0,127,255
462,0,132,255
463,0,137,255
464,0,141,255
465,0,146,255
466,0,151,255
467,0,155,255
468,0,160,255
469,0,164,255
470,0,169,255
471,0,173,255
472,0,178,255
473,0,182,255
474,0,187,255
475,0,191,255
476,0,196,255
477,0,200,255
478,0,204,255
479,0,209,255
480,0,213,255
481,0,217,255
482,0,221,255
483,0,226,255
484,0,230,255
485,0,234,255
486,0,238,255
487,0,242,255
488,0,246,255
489,0,250,255
490,0,255,255
491,0,255,244
492,0,255,234
493,0,255,223
494,0,255,213
495,0,255,202
496,0,255,191
497,0,255,180
498,0,255,169
499,0,255,158
500,0,255,146
501,0,255,134
502,0,255,122
503,0,255,110
504,0,255,97
505,0,255,84
506,0,255,70
507,0,255,55
508,0,255,40
509,0,255,23
510,0,255,0
511,8,255,0
512,14,255,0
513,20,255,0
514,25,255,0
515,30,255,0
516,35,255,0
517,40,255,0
518,44,255,0
519,49,255,0
520,53,255,0
521,58,255,0
522,62,255,0
523,66,255,0
524,70,255,0
525,74,255,0
526,78,255,0
527,82,255,0
528,86,255,0
529,89,255,0
530,93,255,0
531,97,255,0
532,101,255,0
533,104,255,0
534,108,255,0
535,111,255,0
536,115,255,0
537,119,255,0
538,122,255,0
539,126,255,0
540,129,255,0
541,132,255,0
542,136,255,0
543,139,255,0
544,143,255,0
545,146,255,0
546,149,255,0
547,153,255,0
548,156,255,0
549,159,255,0
550,162,255,0
551,166,255,0
552,169,255,0
553,172,255,0
554,175,255,0
555,179,255,0
556,182,255,0
557,185,255,0
558,188,255,0
559,191,255,0
560,194,255,0
561,197,255,0
562,201,255,0
563,204,255,0
564,207,255,0
565,210,255,0
566,213,255,0
567,216,255,0
568,219,255,0
569,222,255,0
570,225,255,0
571,228,255,0
572,231,255,0
573,234,255,0
574,237,255,0
575,240,255,0
576,243,255,0
577,246,255,0
578,249,255,0
579,252,255,0
580,255,255,0
581,255,251,0
582,255,248,0
583,255,245,0
584,255,242,0
585,255,239,0
586,255,235,0
587,255,232,0
588,255,229,0
589,255,226,0
590,255,223,0
591,255,219,0
592,255,216,0
593,255,213,0
594,255,210,0
595,255,206,0
596,255,203,0
597,255,200,0
598,255,196,0
599,255,193,0
600,255,190,0
601,255,186,0
602,255,183,0
603,255,179,0
604,255,176,0
605,255,172,0
606,255,169,0
607,255,165,0
608,255,162,0
609,255,158,0
610,255,155,0
611,255,151,0
612,255,148,0
613,255,144,0
614,255,141,0
615,255,137,0
616,255,133,0
617,255,129,0
618,255,126,0
619,255,122,0
620,255,118,0
621,255,114,0
622,255,111,0
623,255,107,0
624,255,103,0
625,255,99,0
626,255,95,0
627,255,91,0
628,255,87,0
629,255,83,0
630,255,78,0
631,255,74,0
632,255,70,0
633,255,66,0
634,255,61,0
635,255,57,0
636,255,52,0
637,255,47,0
638,255,42,0
639,255,37,0
640,255,32,0
641,255,27,0
642,255,21,0
643,255,15,0
644,255,9,0
645,255,0,0
646,253,0,0
647,252,0,0
648,251,0,0
649,250,0,0
650,249,0,0
651,248,0,0
652,247,0,0
653,246,0,0
654,245,0,0
655,244,0,0
656,243,0,0
657,242,0,0
658,241,0,0
659,240,0,0
660,239,0,0
661,237,0,0
662,236,0,0
663,235,0,0
664,234,0,0
665,233,0,0
666,232,0,0
667,231,0,0
668,230,0,0
669,229,0,0
670,228,0,0
671,227,0,0
672,226,0,0
673,224,0,0
674,223,0,0
675,222,0,0
676,221,0,0
677,220,0,0
678,219,0,0
679,218,0,0
680,217,0,0
681,216,0,0
682,215,0,0
683,213,0,0
684,212,0,0
685,211,0,0
686,210,0,0
687,209,0,0
688,208,0,0
689,207,0,0
690,206,0,0
691,205,0,0
692,203,0,0
693,202,0,0
694,201,0,0
695,200,0,0
696,199,0,0
697,198,0,0
698,197,0,0
699,196,0,0
700,194,0,0
701,193,0,0
702,192,0,0
703,191,0,0
704,190,0,0
705,189,0,0
706,188,0,0
707,186,0,0
708,185,0,0
709,184,0,0
710,183,0,0
711,182,0,0
712,181,0,0
713,180,0,0
714,178,0,0
715,177,0,0
716,176,0,0
717,175,0,0
718,174,0,0
719,173,0,0
720,171,0,0
721,170,0,0
722,169,0,0
723,168,0,0
724,167,0,0
725,166,0,0
726,164,0,0
727,163,0,0
728,162,0,0
729,161,0,0
730,160,0,0
731,158,0,0
732,157,0,0
733,156,0,0
734,155,0,0
735,154,0,0
736,153,0,0
737,151,0,0
738,150,0,0
739,149,0,0
740,148,0,0
741,146,0,0
742,145,0,0
743,144,0,0
744,143,0,0
745,142,0,0
746,140,0,0
747,139,0,0
748,138,0,0
749,137,0,0
750,135,0,0
751,134,0,0
752,133,0,0
753,132,0,0
754,130,0,0
755,129,0,0
756,128,0,0
757,127,0,0
758,125,0,0
759,124,0,0
760,123,0,0
761,122,0,0
762,120,0,0
763,119,0,0
764,118,0,0
765,117,0,0
766,115,0,0
767,114,0,0
768,113,0,0
769,111,0,0
770,110,0,0
771,109,0,0
772,107,0,0
773,106,0,0
774,105,0,0
775,104,0,0
776,102,0,0
777,101,0,0
778,100,0,0
779,98,0,0
780,97,0,0
