wave1,FT,,wave2,QE,PT
400,96.828463,,430,74.9613,16.853894
401,96.975091,,450,77.341,39.672048
402,97.076278,,475,77.1988,85.611592
403,97.121624,,500,76.4628,145.202887
404,97.146038,,525,75.5785,194.243031
405,97.153172,,550,72.3193,215.227563
406,97.325749,,575,68.7634,239.034771
407,97.328625,,600,64.7621,297.183439
408,97.238145,,625,61.3546,353.84964
409,97.209795,,650,55.8691,422.148741
410,97.198325,,675,51.571,504.730627
411,97.325691,,700,46.0855,606.502742
412,97.393887,,730,39.5624,743.4977663
413,97.105683,,,,
414,96.668521,,,,
415,96.529565,,,,
416,96.766767,,,,
417,97.052929,,,,
418,97.238457,,,,
419,97.414137,,,,
420,97.617142,,,,
421,97.748862,,,,
422,97.727429,,,,
423,97.671112,,,,
424,97.689972,,,,
425,97.651537,,,,
426,97.538462,,,,
427,97.465013,,,,
428,97.386218,,,,
429,97.384493,,,,
430,97.446021,,,,
431,97.534081,,,,
432,97.783661,,,,
433,98.046356,,,,
434,97.986522,,,,
435,97.83427,,,,
436,97.875683,,,,
437,97.956208,,,,
438,97.989752,,,,
439,98.006909,,,,
440,98.006271,,,,
441,98.041429,,,,
442,98.036739,,,,
443,97.944038,,,,
444,97.893909,,,,
445,97.88679,,,,
446,97.803704,,,,
447,97.707094,,,,
448,97.715521,,,,
449,97.645824,,,,
450,97.524595,,,,
451,97.56297,,,,
452,97.660098,,,,
453,97.750824,,,,
454,97.787282,,,,
455,97.81915,,,,
456,97.908699,,,,
457,97.908377,,,,
458,97.822853,,,,
459,97.914323,,,,
460,98.009865,,,,
461,97.932839,,,,
462,97.862489,,,,
463,97.906323,,,,
464,97.900882,,,,
465,97.8518,,,,
466,97.851265,,,,
467,97.884224,,,,
468,97.913584,,,,
469,97.885017,,,,
470,97.819633,,,,
471,97.853349,,,,
472,97.897076,,,,
473,97.872942,,,,
474,97.950745,,,,
475,98.077711,,,,
476,98.059932,,,,
477,97.996029,,,,
478,97.984027,,,,
479,98.032361,,,,
480,98.105866,,,,
481,98.135382,,,,
482,98.144923,,,,
483,98.190994,,,,
484,98.198138,,,,
485,98.148185,,,,
486,98.180904,,,,
487,98.212834,,,,
488,98.095991,,,,
489,98.026896,,,,
490,98.074135,,,,
491,98.101071,,,,
492,98.104214,,,,
493,98.038897,,,,
494,97.932381,,,,
495,97.944214,,,,
496,98.006353,,,,
497,98.046344,,,,
498,98.155666,,,,
499,98.202199,,,,
500,98.132035,,,,
501,98.159476,,,,
502,98.263558,,,,
503,98.280015,,,,
504,98.274949,,,,
505,98.294974,,,,
506,98.295608,,,,
507,98.353239,,,,
508,98.388763,,,,
509,98.292366,,,,
510,98.243928,,,,
511,98.295719,,,,
512,98.291566,,,,
513,98.221678,,,,
514,98.153756,,,,
515,98.207709,,,,
516,98.280211,,,,
517,98.078839,,,,
518,97.863984,,,,
519,98.044673,,,,
520,98.201051,,,,
521,98.059383,,,,
522,98.073366,,,,
523,98.318323,,,,
524,98.385309,,,,
525,98.283175,,,,
526,98.285532,,,,
527,98.384308,,,,
528,98.425925,,,,
529,98.382322,,,,
530,98.405659,,,,
531,98.541565,,,,
532,98.535338,,,,
533,98.41208,,,,
534,98.500045,,,,
535,98.615342,,,,
536,98.579401,,,,
537,98.588474,,,,
538,98.61072,,,,
539,98.520645,,,,
540,98.522793,,,,
541,98.587444,,,,
542,98.514661,,,,
543,98.373393,,,,
544,98.357499,,,,
545,98.467566,,,,
546,98.53711,,,,
547,98.423312,,,,
548,98.319044,,,,
549,98.418786,,,,
550,98.465439,,,,
551,98.420948,,,,
552,98.522582,,,,
553,98.588461,,,,
554,98.469042,,,,
555,98.492098,,,,
556,98.631827,,,,
557,98.603482,,,,
558,98.552363,,,,
559,98.60411,,,,
560,98.654652,,,,
561,98.646371,,,,
562,98.617232,,,,
563,98.685149,,,,
564,98.726616,,,,
565,98.718605,,,,
566,98.735831,,,,
567,98.767833,,,,
568,98.714668,,,,
569,98.596964,,,,
570,98.589023,,,,
571,98.726398,,,,
572,98.703425,,,,
573,98.525156,,,,
574,98.523241,,,,
575,98.632636,,,,
576,98.570397,,,,
577,98.559418,,,,
578,98.612216,,,,
579,98.540386,,,,
580,98.436289,,,,
581,98.490783,,,,
582,98.590865,,,,
583,98.709421,,,,
584,98.670678,,,,
585,98.552173,,,,
586,98.570778,,,,
587,98.572603,,,,
588,98.378105,,,,
589,98.319153,,,,
590,98.495137,,,,
591,98.585349,,,,
592,98.593431,,,,
593,98.583329,,,,
594,98.640432,,,,
595,98.736552,,,,
596,98.519376,,,,
597,98.150075,,,,
598,98.019625,,,,
599,97.86377,,,,
600,97.381834,,,,
601,97.157706,,,,
602,97.430901,,,,
603,97.634628,,,,
604,97.538474,,,,
605,97.650953,,,,
606,97.893445,,,,
607,97.756444,,,,
608,97.415759,,,,
609,97.638444,,,,
610,98.185344,,,,
611,98.526487,,,,
612,98.657816,,,,
613,98.721524,,,,
614,98.564516,,,,
615,98.436244,,,,
616,98.481334,,,,
617,98.390262,,,,
618,98.267101,,,,
619,98.481361,,,,
620,98.596631,,,,
621,98.50546,,,,
622,98.513937,,,,
623,98.677277,,,,
624,98.792635,,,,
625,98.839195,,,,
626,98.742065,,,,
627,98.623223,,,,
628,98.601647,,,,
629,98.60278,,,,
630,98.449903,,,,
631,98.207198,,,,
632,98.136121,,,,
633,98.379863,,,,
634,98.783084,,,,
635,98.965913,,,,
636,98.912931,,,,
637,98.837888,,,,
638,98.6644,,,,
639,98.523942,,,,
640,98.630534,,,,
641,98.674201,,,,
642,98.722274,,,,
643,98.83311,,,,
644,98.734194,,,,
645,98.405607,,,,
646,98.2665,,,,
647,98.4451,,,,
648,98.711537,,,,
649,98.948224,,,,
650,98.965056,,,,
651,98.851134,,,,
652,98.789133,,,,
653,98.735905,,,,
654,98.756058,,,,
655,98.899485,,,,
656,98.862273,,,,
657,98.74016,,,,
658,98.556399,,,,
659,98.335917,,,,
660,98.246543,,,,
661,98.45386,,,,
662,98.607259,,,,
663,98.569171,,,,
664,98.552665,,,,
665,98.54695,,,,
666,98.638484,,,,
667,98.829805,,,,
668,98.85658,,,,
669,98.680338,,,,
670,98.485868,,,,
671,98.382862,,,,
672,98.596146,,,,
673,98.900864,,,,
674,98.929111,,,,
675,98.955267,,,,
676,99.036789,,,,
677,98.909825,,,,
678,98.514953,,,,
679,98.318311,,,,
680,98.419413,,,,
681,98.718007,,,,
682,99.016824,,,,
683,99.123304,,,,
684,98.992064,,,,
685,98.771663,,,,
686,98.512279,,,,
